scenario_id,scenario_name,run,seed,PP1,Unserved,TotalCost,NewPHC,l1_ME1,req_ME1,cnes_ME1,l1_EF1,req_EF1,cnes_EF1,l1_TE1,req_TE1,cnes_TE1,l1_DE1,req_DE1,cnes_DE1,l1_TD1,req_TD1,cnes_TD1
1,Low,1,1001,0.708807,0,365175214.33,13,7.148,56.852,64.0,-3.852,56.852,53.0,20.148,56.852,77.0,-13.852,56.852,43.0,-1.852,56.852,55.0
1,Low,2,1017,0.718292,0,361422685.79,14,7.148,56.852,64.0,-3.852,56.852,53.0,20.148,56.852,77.0,-13.852,56.852,43.0,-1.852,56.852,55.0
1,Low,3,1031,0.682673,838,362870100.91,15,7.3575,56.6425,64.0,-3.6425,56.6425,53.0,20.3575,56.6425,77.0,-13.6425,56.6425,43.0,-1.6425,56.6425,55.0
1,Low,4,1049,0.604754,18556,341373324.08,15,11.787,52.213,64.0,0.787,52.213,53.0,24.787,52.213,77.0,-9.213,52.213,43.0,2.787,52.213,55.0
1,Low,5,1063,0.684688,31856,333267334.14,14,15.1121,48.8879,64.0,4.1121,48.8879,53.0,28.1121,48.8879,77.0,-5.8879,48.8879,43.0,6.1121,48.8879,55.0
1,Low,6,1087,0.730854,0,369325306.23,15,7.148,56.852,64.0,-3.852,56.852,53.0,20.148,56.852,77.0,-13.852,56.852,43.0,-1.852,56.852,55.0
1,Low,7,1093,0.701471,0,357210797.37,12,7.148,56.852,64.0,-3.852,56.852,53.0,20.148,56.852,77.0,-13.852,56.852,43.0,-1.852,56.852,55.0
1,Low,8,1103,0.656566,6778,357416419.14,15,8.8425,55.1575,64.0,-2.1575,55.1575,53.0,21.8425,55.1575,77.0,-12.1575,55.1575,43.0,-0.1575,55.1575,55.0
1,Low,9,1117,0.626285,13662,346383202.46,15,10.5635,53.4365,64.0,-0.4365,53.4365,53.0,23.5635,53.4365,77.0,-10.4365,53.4365,43.0,1.5635,53.4365,55.0
1,Low,10,1129,0.723569,0,361155983.01,15,7.148,56.852,64.0,-3.852,56.852,53.0,20.148,56.852,77.0,-13.852,56.852,43.0,-1.852,56.852,55.0
2,Medium,1,1001,0.708807,0,365175214.33,13,-11.7269,75.7269,64.0,-22.7269,75.7269,53.0,1.2731,75.7269,77.0,-32.7269,75.7269,43.0,-20.7269,75.7269,55.0
2,Medium,2,1017,0.718292,0,361422685.79,14,-11.7269,75.7269,64.0,-22.7269,75.7269,53.0,1.2731,75.7269,77.0,-32.7269,75.7269,43.0,-20.7269,75.7269,55.0
2,Medium,3,1031,0.682673,838,362870100.91,15,-11.4478,75.4478,64.0,-22.4478,75.4478,53.0,1.5522,75.4478,77.0,-32.4478,75.4478,43.0,-20.4478,75.4478,55.0
2,Medium,4,1049,0.604754,18556,341373324.08,15,-5.5477,69.5477,64.0,-16.5477,69.5477,53.0,7.4523,69.5477,77.0,-26.5477,69.5477,43.0,-14.5477,69.5477,55.0
2,Medium,5,1063,0.684688,31856,333267334.14,14,-1.1187,65.1187,64.0,-12.1187,65.1187,53.0,11.8813,65.1187,77.0,-22.1187,65.1187,43.0,-10.1187,65.1187,55.0
2,Medium,6,1087,0.730854,0,369325306.23,15,-11.7269,75.7269,64.0,-22.7269,75.7269,53.0,1.2731,75.7269,77.0,-32.7269,75.7269,43.0,-20.7269,75.7269,55.0
2,Medium,7,1093,0.701471,0,357210797.37,12,-11.7269,75.7269,64.0,-22.7269,75.7269,53.0,1.2731,75.7269,77.0,-32.7269,75.7269,43.0,-20.7269,75.7269,55.0
2,Medium,8,1103,0.656566,6778,357416419.14,15,-9.4698,73.4698,64.0,-20.4698,73.4698,53.0,3.5302,73.4698,77.0,-30.4698,73.4698,43.0,-18.4698,73.4698,55.0
2,Medium,9,1117,0.626285,13662,346383202.46,15,-7.1774,71.1774,64.0,-18.1774,71.1774,53.0,5.8226,71.1774,77.0,-28.1774,71.1774,43.0,-16.1774,71.1774,55.0
2,Medium,10,1129,0.723569,0,361155983.01,15,-11.7269,75.7269,64.0,-22.7269,75.7269,53.0,1.2731,75.7269,77.0,-32.7269,75.7269,43.0,-20.7269,75.7269,55.0
3,High,1,1001,0.708807,0,365175214.33,13,-26.9632,90.9632,64.0,-37.9632,90.9632,53.0,-13.9632,90.9632,77.0,-47.9632,90.9632,43.0,-35.9632,90.9632,55.0
3,High,2,1017,0.718292,0,361422685.79,14,-26.9632,90.9632,64.0,-37.9632,90.9632,53.0,-13.9632,90.9632,77.0,-47.9632,90.9632,43.0,-35.9632,90.9632,55.0
3,High,3,1031,0.682673,838,362870100.91,15,-26.628,90.628,64.0,-37.628,90.628,53.0,-13.628,90.628,77.0,-47.628,90.628,43.0,-35.628,90.628,55.0
3,High,4,1049,0.604754,18556,341373324.08,15,-19.5408,83.5408,64.0,-30.5408,83.5408,53.0,-6.5408,83.5408,77.0,-40.5408,83.5408,43.0,-28.5408,83.5408,55.0
3,High,5,1063,0.684688,31856,333267334.14,14,-14.2207,78.2207,64.0,-25.2207,78.2207,53.0,-1.2207,78.2207,77.0,-35.2207,78.2207,43.0,-23.2207,78.2207,55.0
3,High,6,1087,0.730854,0,369325306.23,15,-26.9632,90.9632,64.0,-37.9632,90.9632,53.0,-13.9632,90.9632,77.0,-47.9632,90.9632,43.0,-35.9632,90.9632,55.0
3,High,7,1093,0.701471,0,357210797.37,12,-26.9632,90.9632,64.0,-37.9632,90.9632,53.0,-13.9632,90.9632,77.0,-47.9632,90.9632,43.0,-35.9632,90.9632,55.0
3,High,8,1103,0.656566,6778,357416419.14,15,-24.252,88.252,64.0,-35.252,88.252,53.0,-11.252,88.252,77.0,-45.252,88.252,43.0,-33.252,88.252,55.0
3,High,9,1117,0.626285,13662,346383202.46,15,-21.4984,85.4984,64.0,-32.4984,85.4984,53.0,-8.4984,85.4984,77.0,-42.4984,85.4984,43.0,-30.4984,85.4984,55.0
3,High,10,1129,0.723569,0,361155983.01,15,-26.9632,90.9632,64.0,-37.9632,90.9632,53.0,-13.9632,90.9632,77.0,-47.9632,90.9632,43.0,-35.9632,90.9632,55.0
