scenario_id,scenario_name,run,seed,Scenario,PP1,Unserved,Logist,FixedE,FixedC,NewTeam,VarCost,TotalCost,PHC_Total,SHC_Total,THC_Total,NewPHC,NewSHC,NewTHC
1,Low,1,1001,1,0.708807,0,1209556.73,83150000.0,10140000.0,9423395.8,261252261.8,365175214.33,107334089.96,196241099.02,61600025.35,13,0,0
1,Low,2,1017,1,0.718292,0,1284992.67,83150000.0,10920000.0,10148272.4,255919420.72,361422685.79,108837502.53,195563165.86,57022017.41,14,0,0
1,Low,3,1031,1,0.682673,838,1426464.66,83150000.0,11700000.0,10873149.0,255720487.24,362870100.91,110167867.95,198293450.62,54408782.34,15,0,0
1,Low,4,1049,1,0.604754,18556,1388718.75,83150000.0,11700000.0,10873149.0,234261456.32,341373324.08,106661937.1,177876532.8,56834854.17,15,0,0
1,Low,5,1063,1,0.684688,31856,971741.69,83150000.0,10920000.0,10148272.4,228077320.05,333267334.14,102501632.8,168789808.34,61975893.0,14,0,0
1,Low,6,1087,1,0.730854,0,1276393.71,83150000.0,11700000.0,10873149.0,262325763.52,369325306.23,110323932.13,197453655.66,61547718.44,15,0,0
1,Low,7,1093,1,0.701471,0,1206707.31,83150000.0,9360000.0,8698519.2,254795570.85,357210797.37,105862136.57,195896666.75,55451994.05,12,0,0
1,Low,8,1103,1,0.656566,6778,1358554.59,83150000.0,11700000.0,10873149.0,250334715.54,357416419.14,108981036.94,190082722.36,58352659.84,15,0,0
1,Low,9,1117,1,0.626285,13662,1227148.1,83150000.0,11700000.0,10873149.0,239432905.36,346383202.46,107642844.71,182887952.79,55852404.96,15,0,0
1,Low,10,1129,1,0.723569,0,1252135.02,83150000.0,11700000.0,10873149.0,254180698.99,361155983.01,110321870.44,194408526.47,56425586.1,15,0,0
2,Medium,1,1001,2,0.708807,0,1209556.73,83150000.0,10140000.0,9423395.8,261252261.8,365175214.33,107334089.96,196241099.02,61600025.35,13,0,0
2,Medium,2,1017,2,0.718292,0,1284992.67,83150000.0,10920000.0,10148272.4,255919420.72,361422685.79,108837502.53,195563165.86,57022017.41,14,0,0
2,Medium,3,1031,2,0.682673,838,1426464.66,83150000.0,11700000.0,10873149.0,255720487.24,362870100.91,110167867.95,198293450.62,54408782.34,15,0,0
2,Medium,4,1049,2,0.604754,18556,1388718.75,83150000.0,11700000.0,10873149.0,234261456.32,341373324.08,106661937.1,177876532.8,56834854.17,15,0,0
2,Medium,5,1063,2,0.684688,31856,971741.69,83150000.0,10920000.0,10148272.4,228077320.05,333267334.14,102501632.8,168789808.34,61975893.0,14,0,0
2,Medium,6,1087,2,0.730854,0,1276393.71,83150000.0,11700000.0,10873149.0,262325763.52,369325306.23,110323932.13,197453655.66,61547718.44,15,0,0
2,Medium,7,1093,2,0.701471,0,1206707.31,83150000.0,9360000.0,8698519.2,254795570.85,357210797.37,105862136.57,195896666.75,55451994.05,12,0,0
2,Medium,8,1103,2,0.656566,6778,1358554.59,83150000.0,11700000.0,10873149.0,250334715.54,357416419.14,108981036.94,190082722.36,58352659.84,15,0,0
2,Medium,9,1117,2,0.626285,13662,1227148.1,83150000.0,11700000.0,10873149.0,239432905.36,346383202.46,107642844.71,182887952.79,55852404.96,15,0,0
2,Medium,10,1129,2,0.723569,0,1252135.02,83150000.0,11700000.0,10873149.0,254180698.99,361155983.01,110321870.44,194408526.47,56425586.1,15,0,0
3,High,1,1001,3,0.708807,0,1209556.73,83150000.0,10140000.0,9423395.8,261252261.8,365175214.33,107334089.96,196241099.02,61600025.35,13,0,0
3,High,2,1017,3,0.718292,0,1284992.67,83150000.0,10920000.0,10148272.4,255919420.72,361422685.79,108837502.53,195563165.86,57022017.41,14,0,0
3,High,3,1031,3,0.682673,838,1426464.66,83150000.0,11700000.0,10873149.0,255720487.24,362870100.91,110167867.95,198293450.62,54408782.34,15,0,0
3,High,4,1049,3,0.604754,18556,1388718.75,83150000.0,11700000.0,10873149.0,234261456.32,341373324.08,106661937.1,177876532.8,56834854.17,15,0,0
3,High,5,1063,3,0.684688,31856,971741.69,83150000.0,10920000.0,10148272.4,228077320.05,333267334.14,102501632.8,168789808.34,61975893.0,14,0,0
3,High,6,1087,3,0.730854,0,1276393.71,83150000.0,11700000.0,10873149.0,262325763.52,369325306.23,110323932.13,197453655.66,61547718.44,15,0,0
3,High,7,1093,3,0.701471,0,1206707.31,83150000.0,9360000.0,8698519.2,254795570.85,357210797.37,105862136.57,195896666.75,55451994.05,12,0,0
3,High,8,1103,3,0.656566,6778,1358554.59,83150000.0,11700000.0,10873149.0,250334715.54,357416419.14,108981036.94,190082722.36,58352659.84,15,0,0
3,High,9,1117,3,0.626285,13662,1227148.1,83150000.0,11700000.0,10873149.0,239432905.36,346383202.46,107642844.71,182887952.79,55852404.96,15,0,0
3,High,10,1129,3,0.723569,0,1252135.02,83150000.0,11700000.0,10873149.0,254180698.99,361155983.01,110321870.44,194408526.47,56425586.1,15,0,0
