scenario_id,scenario_name,n_runs,TotalCost_mean,TotalCost_std,TotalCost_min,TotalCost_max,Logist_mean,Logist_std,Logist_min,Logist_max,FixedC_mean,FixedC_std,FixedC_min,FixedC_max,NewTeam_mean,NewTeam_std,NewTeam_min,NewTeam_max,VarCost_mean,VarCost_std,VarCost_min,VarCost_max,PHC_Total_mean,PHC_Total_std,PHC_Total_min,PHC_Total_max,SHC_Total_mean,SHC_Total_std,SHC_Total_min,SHC_Total_max,THC_Total_mean,THC_Total_std,THC_Total_min,THC_Total_max,NewPHC_mean,NewPHC_std,NewPHC_min,NewPHC_max,PP1_mean,PP1_std,PP1_min,PP1_max,Unserved_mean,Unserved_std,Unserved_min,Unserved_max
1,Low,10,355560036.746,11497195.068140643,333267334.14,369325306.23,1260241.323,126712.01143526274,971741.69,1426464.66,11154000.0,826292.9262676765,9360000.0,11700000.0,10365735.38,767897.9576884155,8698519.2,10873149.0,249630060.039,11668998.447671384,228077320.05,262325763.52,107863485.11299999,2452499.529359464,102501632.8,110323932.13,189749358.067,9973602.678897105,168789808.34,198293450.62,57947193.566,2793739.717937332,54408782.34,61975893.0,14.3,1.0593499054713802,12,15,0.6837959,0.04245646035502463,0.604754,0.730854,7169,10946.729770423068,0,31856
2,Medium,10,355560036.746,11497195.068140643,333267334.14,369325306.23,1260241.323,126712.01143526274,971741.69,1426464.66,11154000.0,826292.9262676765,9360000.0,11700000.0,10365735.38,767897.9576884155,8698519.2,10873149.0,249630060.039,11668998.447671384,228077320.05,262325763.52,107863485.11299999,2452499.529359464,102501632.8,110323932.13,189749358.067,9973602.678897105,168789808.34,198293450.62,57947193.566,2793739.717937332,54408782.34,61975893.0,14.3,1.0593499054713802,12,15,0.6837959,0.04245646035502463,0.604754,0.730854,7169,10946.729770423068,0,31856
3,High,10,355560036.746,11497195.068140643,333267334.14,369325306.23,1260241.323,126712.01143526274,971741.69,1426464.66,11154000.0,826292.9262676765,9360000.0,11700000.0,10365735.38,767897.9576884155,8698519.2,10873149.0,249630060.039,11668998.447671384,228077320.05,262325763.52,107863485.11299999,2452499.529359464,102501632.8,110323932.13,189749358.067,9973602.678897105,168789808.34,198293450.62,57947193.566,2793739.717937332,54408782.34,61975893.0,14.3,1.0593499054713802,12,15,0.6837959,0.04245646035502463,0.604754,0.730854,7169,10946.729770423068,0,31856
