Cost_Increase_Pct,FC1_Value,Status,New_Facilities,Total_Cost,Fixed_Cost_New,New_Team_Cost,Logistic_Cost,Fixed_Cost_Existing,Existing_Network_Repricing_vs_Base,Variable_Cost
0,780000.0,FEASIBLE,13,367081549.73,10140000.0,9423395.8,1205053.15,42900000.0,0.0,263163100.78
10,858000.0,FEASIBLE,13,372385549.73,11154000.0,9423395.8,1205053.15,47190000.0,4290000.0,263163100.78
20,936000.0,FEASIBLE,13,377689549.73,12168000.0,9423395.8,1205053.15,51480000.0,8580000.0,263163100.78
30,1014000.0,FEASIBLE,13,382993549.73,13182000.0,9423395.8,1205053.15,55770000.0,12870000.0,263163100.78
